id,category,config,charges,masses,c,eta,side_or_sep,bounce_r,tmax,dt,retcode,n_steps,t_final,E_drift_pct,bound,max_r,min_r,brake_idx,brake_period,notes
38,2+1-,planet_R2.0_eta0.3,[+1+1-1],[1 1 1],1.0000,0.3000,2.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.166316,false,2.000156,0.020854,0,NaN,
39,2+1-,planet_R2.0_eta0.3,[+1+1-1],[1 1 1],4.0000,0.3000,2.0000,0.0200,100.0,1.0e-04,Failure,29108,2.9107,46.196396,false,7.815194,0.016660,0,NaN,
40,2+1-,planet_R0.5_eta0.5,[+1+1-1],[1 1 1],1.0000,0.5000,0.5000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.189943,false,0.500646,0.020914,0,NaN,
41,2+1-,planet_R0.5_eta0.5,[+1+1-1],[1 1 1],4.0000,0.5000,0.5000,0.0200,100.0,1.0e-04,Failure,2587,0.2586,8.822068,false,0.500691,0.017909,0,NaN,
42,2+1-,planet_R1.0_eta0.5,[+1+1-1],[1 1 1],1.0000,0.5000,1.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.173412,false,1.000315,0.020859,0,NaN,
43,2+1-,planet_R1.0_eta0.5,[+1+1-1],[1 1 1],4.0000,0.5000,1.0000,0.0200,100.0,1.0e-04,Failure,97801,9.7800,15.751158,false,7.283151,0.017029,0,NaN,
44,2+1-,planet_R2.0_eta0.5,[+1+1-1],[1 1 1],1.0000,0.5000,2.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.165618,false,2.000156,0.020854,0,NaN,
45,2+1-,planet_R2.0_eta0.5,[+1+1-1],[1 1 1],4.0000,0.5000,2.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,14.031361,true,2.000206,0.016327,0,NaN,
46,2+1-,planet_R0.5_eta0.6,[+1+1-1],[1 1 1],1.0000,0.6000,0.5000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.186907,false,0.500657,0.020930,0,NaN,
47,2+1-,planet_R0.5_eta0.6,[+1+1-1],[1 1 1],4.0000,0.6000,0.5000,0.0200,100.0,1.0e-04,Failure,16368,1.6367,7.915006,false,5.613935,0.016645,0,NaN,
48,2+1-,planet_R1.0_eta0.6,[+1+1-1],[1 1 1],1.0000,0.6000,1.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.172343,false,1.000316,0.020860,0,NaN,
49,2+1-,planet_R1.0_eta0.6,[+1+1-1],[1 1 1],4.0000,0.6000,1.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,5.640517,true,1.027138,0.017218,0,NaN,
50,2+1-,planet_R2.0_eta0.6,[+1+1-1],[1 1 1],1.0000,0.6000,2.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.165142,false,2.000157,0.020854,0,NaN,
51,2+1-,planet_R2.0_eta0.6,[+1+1-1],[1 1 1],4.0000,0.6000,2.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,2.466836,true,2.000239,0.017228,0,NaN,
52,2+1-,planet_R0.5_eta0.7,[+1+1-1],[1 1 1],1.0000,0.7000,0.5000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.183424,false,0.500668,0.020949,0,NaN,
53,2+1-,planet_R0.5_eta0.7,[+1+1-1],[1 1 1],4.0000,0.7000,0.5000,0.0200,100.0,1.0e-04,Failure,245614,24.5613,12.160351,false,6.809641,0.016919,0,NaN,
54,2+1-,planet_R1.0_eta0.7,[+1+1-1],[1 1 1],1.0000,0.7000,1.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.171097,false,1.000317,0.020861,0,NaN,
55,2+1-,planet_R1.0_eta0.7,[+1+1-1],[1 1 1],4.0000,0.7000,1.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,23.114660,true,1.663471,0.015937,0,NaN,
56,2+1-,planet_R2.0_eta0.7,[+1+1-1],[1 1 1],1.0000,0.7000,2.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.164582,false,2.000157,0.020854,0,NaN,
57,2+1-,planet_R2.0_eta0.7,[+1+1-1],[1 1 1],4.0000,0.7000,2.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,10.523060,true,3.043402,0.016566,0,NaN,
58,2+1-,planet_R0.5_eta0.8,[+1+1-1],[1 1 1],1.0000,0.8000,0.5000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.179539,false,0.500681,0.020971,0,NaN,
59,2+1-,planet_R0.5_eta0.8,[+1+1-1],[1 1 1],4.0000,0.8000,0.5000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,18.737528,true,1.147905,0.016202,0,NaN,
60,2+1-,planet_R1.0_eta0.8,[+1+1-1],[1 1 1],1.0000,0.8000,1.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.169680,false,1.000319,0.020863,0,NaN,
61,2+1-,planet_R1.0_eta0.8,[+1+1-1],[1 1 1],4.0000,0.8000,1.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,5.929361,true,1.122078,0.016843,0,NaN,
62,2+1-,planet_R2.0_eta0.8,[+1+1-1],[1 1 1],1.0000,0.8000,2.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.163940,false,2.000157,0.020855,0,NaN,
