family,c,T,E,max_floquet,drift_pct,status,eigenvalue_types
elliptic_E-1.0_e0.5,4.000000,1.507964,-1.000000,8.319306,0.000695,Open,positive_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic;positive_hyperbolic
elliptic_E-1.0_e0.5,3.000000,1.476549,-1.000000,19.224392,0.000721,Open,negative_hyperbolic;negative_hyperbolic;negative_hyperbolic;negative_hyperbolic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.5,2.000000,1.696460,-1.000000,14.144361,0.000820,Open,negative_hyperbolic;negative_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.5,1.500000,1.853540,-1.000000,59.146500,0.001033,Open,elliptic;elliptic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.5,1.000000,1.570796,-1.000000,83.786154,0.001704,Open,negative_hyperbolic;negative_hyperbolic;negative_hyperbolic;negative_hyperbolic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.7,100.000000,1.570796,-1.000000,3.853241,0.005554,NearClosed,positive_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic;positive_hyperbolic
elliptic_E-1.0_e0.7,50.000000,1.570011,-1.000000,1.000001,0.005559,NearClosed,loxodromic;loxodromic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.7,20.000000,1.566084,-1.000000,15.455699,0.005587,NearClosed,positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.7,10.000000,1.552756,-1.000000,68.286509,0.005688,NearClosed,positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.7,5.000000,1.507964,-1.000000,11.415317,0.006091,Open,loxodromic;loxodromic;elliptic;elliptic;elliptic;elliptic;loxodromic;loxodromic
elliptic_E-1.0_e0.7,4.000000,1.476549,-1.000000,114.685312,0.006482,Open,negative_hyperbolic;loxodromic;loxodromic;negative_hyperbolic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.7,3.000000,1.492257,-1.000000,131.647161,0.007581,Open,negative_hyperbolic;negative_hyperbolic;negative_hyperbolic;negative_hyperbolic;elliptic;elliptic;elliptic;elliptic
elliptic_E-1.0_e0.7,2.000000,2.042035,-1.000000,184.166197,0.011229,Open,negative_hyperbolic;negative_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.7,1.500000,1.960550,-1.000000,135.924594,0.016557,NearClosed,negative_hyperbolic;negative_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
elliptic_E-1.0_e0.7,1.000000,2.042035,-1.000000,191.615766,0.031942,Open,negative_hyperbolic;negative_hyperbolic;positive_hyperbolic;elliptic;elliptic;elliptic;elliptic;positive_hyperbolic
breathing_sq_v0.3,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.3,2.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.3,4.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.3,10.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.5,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.5,2.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.5,4.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.5,10.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.7,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.7,2.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.7,4.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
breathing_sq_v0.7,10.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
double_orbiter,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
double_orbiter,2.000000,-1.000000,-1.000000,-1.000000,-1.000000,Failure,
